arm,index,model,prompt_tokens,frontend_wait_s,local_scheduler_wait_s,prefill_wait_s,actual_prefill_service_s,decode_start_wait_s,ttft_s,tpot_s,e2e_s
D0,35,model_2,13,0.0006937980651855469,0.008669853210449219,0.16527843475341797,0.03809642791748047,0.0445401668548584,0.2127385139465332,0.03225355602446057,3.5993618965148926
D0,36,model_4,1501,0.00045108795166015625,0.002685546875,0.13498282432556152,0.10308027267456055,0.024274349212646484,0.24119973182678223,0.04684442840516567,18.2294602394104
D0,37,model_1,234,0.0006468296051025391,0.0008196830749511719,0.11247777938842773,0.047265052795410156,0.020349740982055664,0.1612093448638916,0.03268358769354882,5.19448184967041
D0,38,model_3,551,0.0007660388946533203,0.009116172790527344,0.06432437896728516,0.0749971866607666,0.051683664321899414,0.14920377731323242,0.04937562704785478,16.986292600631714
D0,39,model_3,15,0.0004787445068359375,0.009893417358398438,0.03413558006286621,0.02873849868774414,0.022109508514404297,0.07324624061584473,0.04949936456978321,19.081002235412598
D0,40,model_3,771,0.0011379718780517578,0.007511138916015625,0.0051538944244384766,0.09679985046386719,0.022760391235351562,0.11060285568237305,0.0303027480840683,0.5954468250274658
D0,41,model_3,184,0.0005986690521240234,0.007711648941040039,0.004953861236572266,0.09684896469116211,0.02271294593811035,0.11011314392089844,0.030379533767700195,0.5961856842041016
D0,42,model_4,80,0.0006098747253417969,0.005058765411376953,0.002121448516845703,0.031812429428100586,0.026595592498779297,0.03960251808166504,0.047879166809129126,15.552452564239502
D0,43,model_2,10,0.0003933906555175781,0.005792856216430664,0.01368570327758789,0.02734231948852539,0.024240732192993164,0.04721426963806152,0.03983112913749885,14.426251888275146
D0,44,model_5,14,0.0006363391876220703,0.0018463134765625,0.003409147262573242,0.03435873985290527,0.028433799743652344,0.040250539779663086,0.07641911196211974,29.385189533233643
D0,45,model_5,8,0.0005917549133300781,0.005377769470214844,0.1056210994720459,0.033770084381103516,0.45752549171447754,0.14536070823669434,0.0773666085054477,29.854138374328613
D0,46,model_5,30,0.000545501708984375,0.008513927459716797,0.07325148582458496,0.03383827209472656,0.4574604034423828,0.1161491870880127,0.07736846183737119,29.82563853263855
D0,47,model_4,245,0.0006282329559326172,0.003156423568725586,0.04078221321105957,0.033510684967041016,0.4540700912475586,0.07807755470275879,0.05699867010116577,0.9900562763214111
D0,48,model_3,15,0.0006911754608154297,0.00034332275390625,0.01176905632019043,0.017303943634033203,0.01176762580871582,0.030107498168945312,0.04968254349448464,16.425346851348877
D0,49,model_2,413,0.0006589889526367188,0.0048291683197021484,0.017562150955200195,0.2579936981201172,0.043123483657836914,0.28104400634765625,0.03934078166882197,15.387904167175293
D0,50,model_6,778,0.00041961669921875,0.0036978721618652344,0.008424043655395508,0.3578610420227051,0.029421567916870117,0.37040257453918457,0.041978348046541214,3.0570168495178223
D0,51,model_3,43,0.0007994174957275391,0.006391286849975586,0.11722540855407715,0.038716793060302734,0.03093719482421875,0.163132905960083,0.04375157927587835,9.657225608825684
